Ticker,Security,Sector,sma,roc,rsi_entry,ytd_close,buy_limit
DD,DuPont de Nemours Inc,Materials,66.23,16.25,3.91,70.32,68.91
ICE,Intercontinental Exchange,Financials,106.03,12.02,3.93,111.66,109.43
