Ticker,Security,Sector,sma,roc,rsi_entry,ytd_close,buy_limit
LLY,Lilly (Eli) & Co.,Health Care,158.33,35.39,4.54,196.96,193.02
PNR,Pentair plc,Industrials,51.29,24.64,4.81,53.77,52.69
