Ticker,Security,Sector,sma,roc,rsi_entry,ytd_close,buy_limit
COTY,Coty Inc,Consumer Staples,4.98,70.62,0.89,6.33,6.2
HBAN,Huntington Bancshares,Financials,11.24,48.6,2.68,13.84,13.56
HWM,Howmet Aerospace,Industrials,21.97,48.58,3.65,26.76,26.22
