Ticker,Security,sma,roc,rsi_entry,ytd_close,buy_limit
FTNT,Fortinet,125.71,11.87,3.96,141.74,138.91
KHC,Kraft Heinz Co,32.25,-2.74,1.43,33.57,32.9
