Ticker,Security,sma,roc,rsi_entry,ytd_close,buy_limit
WYNN,Wynn Resorts Ltd,88.62,21.08,1.7,106.9,104.76
F,Ford Motor Company,7.86,17.84,4.52,8.52,8.35
BA,Boeing Company,183.41,12.54,1.08,202.72,198.67
LKQ,LKQ Corporation,33.03,10.36,1.77,34.72,34.03
FAST,Fastenal Co,46.42,1.93,3.07,47.65,46.7
