Ticker,Security,Sector,sma,roc,rsi_entry,ytd_close,buy_limit
DFS,Discover Financial Services,Financials,73.54,68.75,3.8,89.06,87.28
DVN,Devon Energy,Energy,12.67,62.95,4.26,17.37,17.02
SCHW,Charles Schwab Corporation,Financials,45.05,61.28,3.69,57.08,55.94
