Ticker,Security,Sector,sma,roc,rsi_entry,ytd_close,buy_limit
USB,U.S. Bancorp,Financials,41.16,34.07,4.36,52.06,51.02
VFC,VF Corporation,Consumer Discretionary,77.66,28.78,1.46,92.16,90.32
ROST,Ross Stores,Consumer Discretionary,103.16,24.91,1.15,117.44,115.09
