Ticker,Security,Sector,sma,roc,rsi_entry,ytd_close,buy_limit
DIS,The Walt Disney Company,Communication Services,142.95,36.09,3.95,173.43,169.96
PKI,PerkinElmer,Health Care,130.88,26.79,4.55,148.13,145.17
TYL,Tyler Technologies,Information Technology,393.92,23.33,2.57,419.22,410.84
