Ticker,Security,Sector,sma,roc,rsi_entry,ytd_close,buy_limit
USB,U.S. Bancorp,Financials,41.26,28.49,0.66,52.06,51.02
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,98.07,24.08,3.5,110.45,108.24
HAS,Hasbro Inc.,Consumer Discretionary,87.09,20.22,3.94,101.27,99.24
